frequency,raw
5120.00,69.276
5194.47,69.840
5270.03,70.481
5346.68,71.172
5424.45,71.968
5503.35,72.974
5583.40,74.243
5664.61,75.653
5747.01,76.991
5830.60,78.083
5915.41,78.752
6001.45,78.839
6088.74,78.226
6177.30,77.196
6267.15,76.073
6358.31,75.041
6450.80,74.068
6544.62,73.053
6639.82,71.898
6736.40,70.569
6834.38,69.129
6933.79,67.727
7034.64,66.484
7136.96,65.421
7240.77,64.514
7346.09,63.812
7452.94,63.452
7561.35,63.588
7671.33,64.197
7782.91,65.202
7896.12,66.507
8010.97,68.005
8127.49,69.590
8245.71,71.148
8365.65,72.494
8487.33,73.492
8610.78,74.005
8736.03,73.935
8863.09,73.256
8992.01,71.963
9122.80,70.092
9255.50,67.702
9390.12,64.894
9526.70,61.850
9665.27,59.258
9805.86,58.198
9948.49,58.814
10093.19,59.884
10240.00,60.570
10388.94,60.717
10540.05,60.388
10693.36,59.835
10848.90,59.394
11006.70,59.534
11166.80,60.472
11329.22,62.235
11494.01,64.243
11661.20,66.066
11830.81,67.708
12002.89,69.131
12177.48,70.451
12354.61,71.548
12534.31,72.444
12716.62,73.028
12901.59,73.103
13089.25,72.892
13279.64,72.028
13472.79,70.436
13668.76,68.472
13867.58,67.123
14069.29,67.790
14273.93,70.199
14481.55,72.908
14692.19,74.746
14905.89,75.542
15122.70,75.383
15342.66,74.497
15565.83,73.134
15792.24,71.455
16021.94,69.544
16254.99,67.589
16491.42,65.972
16731.29,64.800
16974.66,63.726
17221.56,62.477
17472.05,61.199
17726.19,60.299
17984.02,59.916
18245.61,59.884
18510.99,60.068
18780.24,60.327
19053.41,60.442
19330.55,60.137
19611.72,59.249
19896.97,58.122
20186.38,57.740
